logins,forms_filled,links_clicked,transactions,trans_succ,trans_failed,new_user_sessions,user_sessions,total_known_user_sessions,total_unknown_user_sessions,known_user_sessions,anon_user_sessions,known_user_sessions_net,total_softs_deleted_user_sessions,anonwebvisitcount__c
58.4545454545,0.0,0.0,26162.2454545,22321.8727273,1178.42727273,328.381818182,29531.2818182,680.354545455,28850.9272727,37.6363636364,290.745454545,37.6363636364,0.0,-1586.02727273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26162.2454545,0.0,0.0,20910436.2545,17848403.0273,939683.372727,-75657.0818182,12728628.6182,328581.345455,12400047.2727,142872.363636,-218529.445455,142872.363636,0.0,-2326154.17273
22321.8727273,0.0,0.0,17848403.0273,15247069.9636,798415.136364,-66337.9909091,10301408.6091,268666.572727,10032742.0364,122568.581818,-188906.572727,122568.581818,0.0,-1964424.33636
1178.42727273,0.0,0.0,939683.372727,798415.136364,44230.7636364,1100.29090909,655269.390909,16431.4272727,638837.963636,6006.21818182,-4905.92727273,6006.21818182,0.0,-84873.3636364
328.381818182,0.0,0.0,-75657.0818182,-66337.9909091,1100.29090909,62111.0727273,-947497.327273,-20877.8181818,-926619.509091,-1676.24545455,63787.3181818,-1676.24545455,0.0,523679.909091
29531.2818182,0.0,0.0,12728628.6182,10301408.6091,655269.390909,-947497.327273,283047309.873,6720069.48182,276327240.391,51570.4545455,-999067.781818,51570.4545455,0.0,-19658759.6909
680.354545455,0.0,0.0,328581.345455,268666.572727,16431.4272727,-20877.8181818,6720069.48182,161122.454545,6558947.02727,2959.03636364,-23836.8545455,2959.03636364,0.0,-442788.127273
28850.9272727,0.0,0.0,12400047.2727,10032742.0364,638837.963636,-926619.509091,276327240.391,6558947.02727,269768293.364,48611.4181818,-975230.927273,48611.4181818,0.0,-19215971.5636
37.6363636364,0.0,0.0,142872.363636,122568.581818,6006.21818182,-1676.24545455,51570.4545455,2959.03636364,48611.4181818,3474.49090909,-5150.73636364,3474.49090909,0.0,650.381818182
290.745454545,0.0,0.0,-218529.445455,-188906.572727,-4905.92727273,63787.3181818,-999067.781818,-23836.8545455,-975230.927273,-5150.73636364,68938.0545455,-5150.73636364,0.0,523029.527273
37.6363636364,0.0,0.0,142872.363636,122568.581818,6006.21818182,-1676.24545455,51570.4545455,2959.03636364,48611.4181818,3474.49090909,-5150.73636364,3474.49090909,0.0,650.381818182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1586.02727273,0.0,0.0,-2326154.17273,-1964424.33636,-84873.3636364,523679.909091,-19658759.6909,-442788.127273,-19215971.5636,650.381818182,523029.527273,650.381818182,0.0,5422152.56364
