,sparsity_flag,sparse_percentage,per_distinct,count_of_distinct,min,first_quartile,mean,median,third_quartile,max,standard_deviation,variance,per_zero_accounts_sum
logins,False,29.0,0.0,456.0,0.0,5.0,19.2713466484,11.0,41.0,1201.0,29.9167499447,895.011927253,0.575408843125
forms_filled,True,0.620509851614,2.0,4657.0,0.0,0.0,221.243274092,0.0,315.0,122276.0,1773.1686366,3144127.0138,10.5693519079
links_clicked,True,0.579700740959,13.0,34552.0,0.0,0.0,19517.605279,0.0,14321.0,40764308.0,234668.927606,55069505583.9,8.20714718353
transactions,False,38.0,22.0,57204.0,0.0,2.0,34458.2693709,490.0,60731.0,19849629.0,162205.516761,26310629667.5,4.66384009691
trans_succ,False,38.0,21.0,55236.0,0.0,2.0,30434.1412933,444.0,53824.0,15072210.0,141113.787469,19913101013.9,4.81526347668
trans_failed,False,47.0,5.0,13983.0,0.0,0.0,1478.71286139,12.0,2073.0,555010.0,9131.80374152,83389839.5736,8.99454875833
new_user_sessions,False,24.0,16.0,41258.0,0.0,526.0,15791.6525815,1824.0,22420.0,8368203.0,79656.5249759,6345161971.24,1.5142337977
user_sessions,False,21.0,60.0,154903.0,0.0,30855.0,496174.006706,96333.0,908123.0,49828545.0,1606593.0563,2.58114124856e+12,1.1205330103
total_known_user_sessions,False,21.0,51.0,130787.0,0.0,15094.0,236108.398572,51145.0,437476.0,17955469.0,757461.060456,5.73747258108e+11,1.42337976984
total_unknown_user_sessions,False,23.0,42.0,109035.0,0.0,4964.0,260065.608135,20930.0,367642.0,49664897.0,1204147.41966,1.44997100826e+12,2.634766808
known_user_sessions,False,29.0,7.0,17479.0,0.0,24.0,4266.84939193,138.0,2748.0,8368203.0,50212.3551946,2521280614.19,2.21078134464
anon_user_sessions,False,27.0,14.0,35739.0,0.0,322.0,11524.8031896,1272.0,16262.0,2862776.0,58350.9507049,3404833448.16,2.87704421563
known_user_sessions_net,False,29.0,7.0,17478.0,0.0,24.0,4266.75186571,138.0,2748.0,8368203.0,50212.4496216,2521290097.0,2.21078134464
total_softs_deleted_user_sessions,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5511811024
anonwebvisitcount__c,False,25.0,26.0,66843.0,0.0,1350.0,54044.8626123,5311.0,76378.0,32525116.0,248008.978544,61508453438.2,2.42277407632
